,id_,first_name,last_name,state,city,postal_code,building_name,street_name,phone,date_of_first_deal
0,2940339,Inaaya ,Chhabra,Madhya Pradesh,Imphal,950745,69,Ramesh Street,08805874833,2023-11-11
1,2960849,Priyansh,Singhal,Meghalaya,Katihar,952299,37,Thakkar Street,+919561516767,2022-11-07
2,2816042,Abram,Sengupta,Meghalaya,Pune,165369,93,Tak Zila,0365278223,2023-10-05
3,2677876,Zeeshan,Setty,Uttar Pradesh,Varanasi,313104,H.No. 636,Tailor Marg,+914212191250,2022-07-10
4,2623799,Ayesha,Dugar,Sikkim,Patiala,878062,H.No. 525,Sem Path,06472181443,2022-09-04
5,2611328,Nakul,Hari,Goa,Dibrugarh,256770,70/564,Lata Chowk,0113277643,2023-03-12
6,2670314,Eva,Bhargava,Tamil Nadu,Ludhiana,213426,386,Chanda Zila,+914804582490,2024-01-06
7,2828544,Ehsaan,Ram,Tamil Nadu,Gopalpur,660151,H.No. 42,Chakraborty Marg,07139314800,2023-04-04
8,2681620,Dharmajan,Yogi,Meghalaya,Barasat,561684,15/67,Subramanian Street,00491869691,2023-03-21
9,2862374,Hazel,Chanda,Nagaland,Junagadh,093981,87/931,Majumdar Path,+914920783084,2022-10-19
10,2517936,Samiha,Halder,Uttar Pradesh,Nadiad,736372,H.No. 91,Keer Zila,6534923391,2022-11-19
11,2783535,Veer,Raju,Arunachal Pradesh,Thrissur,465314,H.No. 44,Kurian Marg,+913010758903,2023-07-25
12,2999072,Shray,Mall,Bihar,Medininagar,504580,H.No. 338,Bal Street,06936807993,2023-03-09
13,2906693,Chirag,Chokshi,Himachal Pradesh,Jaunpur,972064,745,Sastry,8201558566,2022-07-08
14,2635614,Adira,Sangha,Sikkim,Mau,684534,149,Hora Marg,+914060701399,2023-10-28
15,2638825,Aayush,Goel,Gujarat,Dhanbad,199836,15/119,Rajan Circle,01444485578,2023-10-18
16,2907148,Bhamini,Verma,Bihar,Chandigarh,473896,H.No. 25,Raju Road,0697369014,2022-12-11
17,2682549,Shanaya,Samra,Uttarakhand,Mango,806196,96,Balasubramanian Chowk,06605120425,2023-05-15
18,2679474,Rasha,Tandon,Tamil Nadu,Panihati,106824,H.No. 694,De Path,+912976427149,2022-08-29
19,2951842,Dharmajan,Aggarwal,Gujarat,Thiruvananthapuram,636161,H.No. 528,Bains Nagar,7741857088,2024-05-01
20,2968419,Ritvik,Yogi,Jharkhand,Bikaner,032361,21/601,Dave Chowk,+916915367551,2024-05-30
21,2726124,Advik,Krishnamurthy,Jharkhand,Orai,003810,H.No. 174,Sridhar Street,07470358399,2022-06-14
22,2743927,Hunar,Kaul,Jharkhand,Davanagere,282014,H.No. 54,Sha Path,9859784604,2023-06-17
